"Live Birth Events by Mother's Race and Ethnicity, 2007",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,,,,,,,,,,,,,,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
Unknown,400,1241,101,47,462,131,32,219,9,6,34,10,11,110,0,4,41,9
100,18,1,6,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
200,5,1,31,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0
300,17,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
400,11,0,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
500,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
600,6,0,2,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0
700,7,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,42,1,8,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0
900,17,3,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1000,39,1,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0
1100,40,3,5,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0
1200,75,2,9,0,1,2,8,0,1,0,0,0,0,0,0,0,0,0
1300,31,14,2,1,3,1,2,1,0,1,0,0,0,1,0,0,0,0
1400,29,14,3,1,5,1,1,4,0,0,0,0,0,1,0,0,0,0
1500,24,3,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
1600,14,0,5,0,2,1,4,0,2,0,0,0,0,0,0,0,0,0
1700,29,0,1,2,1,2,2,0,0,0,0,2,0,0,0,0,0,0
1800,19,6,3,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0
1900,13,19,1,0,7,4,0,4,0,0,0,1,0,4,0,0,0,1
2000,3,18,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
2100,0,25,1,0,3,3,0,4,1,0,0,2,0,0,0,0,0,0
2200,0,27,0,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0
2300,13,0,8,1,11,1,1,0,0,0,0,0,0,0,0,0,1,0
2400,26,7,10,2,20,1,3,1,0,0,1,0,0,2,0,0,3,0
2500,33,27,2,3,7,3,2,6,0,0,0,0,0,0,0,0,1,1
2700,39,15,17,9,37,5,2,3,2,0,6,0,0,3,0,1,2,1
2800,28,6,29,5,42,8,1,0,1,0,2,1,1,1,0,0,2,0
2900,38,1,6,3,3,4,3,1,1,0,1,0,0,0,0,0,1,0
3000,6,51,25,14,5,7,0,8,1,5,1,0,0,6,0,3,0,1
3100,0,69,7,0,3,8,0,8,1,0,0,1,0,7,0,0,0,0
3200,1,69,1,0,4,15,0,14,0,0,0,5,0,14,0,0,0,0
3300,13,81,0,0,4,15,0,16,0,0,0,3,1,10,0,0,1,2
3400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3600,12,73,14,3,9,12,2,11,1,0,0,2,0,7,0,0,1,0
3701,5,83,13,3,5,10,0,17,0,1,0,0,0,12,1,0,0,0
3702,11,23,12,2,4,2,0,5,1,0,0,0,0,1,0,0,0,0
3800,36,1,5,1,3,1,4,0,0,0,0,1,0,0,0,0,0,0
3901,40,8,14,6,6,8,3,1,1,0,1,0,1,2,0,0,0,1
3902,48,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0
4001,26,0,12,1,8,0,0,0,3,0,0,0,1,0,0,0,0,0
4002,41,0,3,0,1,4,3,0,0,0,0,0,2,0,0,0,0,0
4101,14,24,31,10,29,8,1,1,7,1,0,1,1,3,0,0,0,3
4102,38,14,30,10,27,5,2,3,5,2,2,0,0,0,2,0,0,0
4201,50,10,5,2,10,4,4,2,0,0,3,0,1,1,0,0,0,1
4202,46,8,4,2,8,3,2,1,0,0,2,0,0,0,0,0,0,0
4400,4,3,9,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
4500,18,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1
4700,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4800,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5400,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5500,3,56,4,0,4,8,0,12,1,0,0,2,0,1,0,0,0,4
5600,0,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6000,5,68,12,1,4,5,0,4,0,0,0,0,0,5,1,1,0,0
6100,3,38,10,0,0,3,0,8,1,0,0,0,0,1,0,0,0,0
6200,2,58,5,1,4,7,0,4,0,0,2,1,0,3,0,0,1,1
6300,3,57,10,4,6,7,1,9,0,0,1,2,1,2,0,0,3,0
6400,1,64,7,8,1,15,0,5,1,1,0,3,0,3,0,0,1,0
6500,0,71,2,2,2,7,0,8,0,0,1,3,0,6,0,0,0,0
6600,2,60,3,1,4,13,0,10,0,0,1,4,0,5,0,1,0,1
6700,8,100,6,4,4,20,0,14,0,0,0,2,1,6,0,0,0,1
6900,1,53,0,0,1,4,1,5,0,0,0,1,1,3,0,0,0,1
7000,1,50,1,0,2,5,0,5,0,0,0,2,0,3,0,0,0,0
7100,9,127,0,0,4,15,2,25,0,0,1,4,0,9,0,0,1,1
7200,1,68,0,0,3,7,0,5,0,0,0,0,0,9,0,0,0,0
7300,2,37,1,0,1,4,0,4,0,0,0,1,0,2,0,0,0,0
7400,3,50,0,1,2,10,1,9,0,0,0,1,0,8,0,0,0,1
7700,2,12,0,0,2,3,0,1,0,0,0,1,0,2,0,0,0,0
7800,18,27,3,3,2,3,0,8,0,0,0,0,0,1,0,0,0,0
7900,22,14,5,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0
8000,3,57,1,1,5,6,0,5,0,0,0,2,0,6,0,0,0,1
8100,0,137,1,0,3,12,0,10,0,0,0,1,0,8,0,0,1,1
8200,1,82,0,2,2,5,0,8,0,0,0,1,0,6,0,0,0,1
8301,0,37,0,0,1,3,0,8,0,0,0,0,0,3,0,0,0,0
8302,1,66,0,2,1,9,0,16,0,0,0,0,0,6,0,0,0,0
8400,2,53,2,1,1,6,0,3,0,0,0,0,0,5,0,1,0,0
8500,4,87,2,3,3,7,0,10,0,0,0,0,0,7,0,0,0,0
8600,27,66,4,2,6,11,4,10,0,0,0,4,0,9,0,1,0,2
8700,20,10,19,2,4,3,1,2,1,0,0,0,0,0,0,0,0,0
8800,1,3,4,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0
8900,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9100,5,13,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0
9200,2,36,2,1,1,4,0,7,0,0,0,0,0,1,0,0,0,0
9300,0,61,0,0,3,5,0,12,0,0,1,2,0,2,0,0,1,0
9400,1,57,0,0,0,7,0,11,0,0,0,4,0,5,0,0,0,0
9500,0,48,0,0,3,6,0,10,0,0,0,0,0,6,0,0,0,2
9600,0,58,0,0,1,8,0,8,0,0,0,2,0,1,0,0,0,0
9700,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9800,6,84,5,3,7,2,1,8,0,0,2,0,0,1,0,0,0,0
9900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,1,43,0,1,2,3,0,9,0,0,0,0,0,0,0,0,0,0
10100,3,69,0,2,5,4,0,19,0,1,1,1,0,9,0,0,0,0
10200,0,49,0,0,2,2,0,4,0,0,0,0,0,5,0,0,0,0
10300,1,32,0,0,0,4,1,3,0,0,0,0,0,2,0,0,0,0
10400,0,47,0,0,1,6,0,9,0,0,1,0,0,3,0,0,0,2
10500,1,54,3,0,4,5,1,5,0,0,2,0,0,1,0,0,0,0
10600,0,10,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1
10700,3,51,0,0,1,12,2,5,0,0,0,2,0,5,0,0,0,3
10800,2,44,1,1,4,8,1,4,0,0,4,2,0,4,0,0,1,0
10900,0,34,0,1,3,8,0,8,0,1,0,2,0,3,0,0,0,1
11000,0,42,1,1,2,5,0,6,0,0,0,1,0,1,0,0,0,0
11100,1,51,1,3,4,6,0,4,0,0,0,3,0,5,0,0,0,2
11200,1,73,0,3,1,6,0,9,0,0,0,2,0,9,0,0,0,1
11300,0,47,0,0,1,0,0,6,0,0,0,0,0,4,0,0,0,0
11400,2,90,0,1,2,2,0,16,0,0,0,0,0,6,0,0,0,0
11500,0,42,0,1,1,2,0,10,0,0,0,0,0,0,0,0,0,0
11600,8,12,3,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0
11700,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11800,0,53,0,1,3,6,0,14,0,0,0,0,0,3,0,0,0,1
11900,3,53,0,2,2,6,0,2,0,1,0,2,0,6,0,0,0,1
12000,2,10,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
12100,3,11,0,1,0,3,0,1,0,0,0,1,0,1,0,0,0,0
12200,7,24,15,4,0,3,1,3,1,0,0,1,0,2,0,0,0,0
12300,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12500,13,1,9,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0
12600,2,5,8,3,10,1,0,0,0,1,1,0,0,1,0,0,0,0
12700,0,1,3,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0
12800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12900,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,6,4,0,2,4,0,0,1,0,0,3,0,0,0,0,0,0,0
13100,0,23,1,0,2,3,0,3,0,0,0,0,0,3,0,0,1,0
13200,1,36,2,0,1,3,0,2,0,0,0,0,0,2,0,0,0,1
13300,3,9,1,0,4,2,0,2,0,0,0,0,0,2,0,0,0,0
13400,40,3,3,1,5,0,3,0,0,0,0,0,0,1,0,0,0,0
13500,19,19,3,0,5,1,0,3,1,0,0,0,0,3,0,0,1,0
13600,75,4,5,0,3,2,4,1,0,0,1,0,0,0,0,0,0,0
13700,8,51,1,2,2,3,0,7,0,0,1,0,0,0,0,0,0,0
13800,3,32,0,0,1,0,0,7,0,0,0,0,1,3,0,0,0,0
13900,1,44,0,0,1,1,0,6,0,0,0,0,0,4,0,0,0,0
14000,1,24,0,1,2,5,0,4,0,0,0,2,0,3,0,0,1,2
14100,1,11,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0
14200,24,4,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1
14300,10,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14400,9,12,0,4,16,1,1,0,0,0,3,0,0,1,0,0,5,0
14500,0,9,1,1,7,1,0,0,0,1,1,0,0,3,0,0,0,0
14600,1,18,0,0,1,2,0,2,0,0,0,0,0,2,0,0,0,0
14700,0,27,0,1,2,1,0,6,0,0,0,0,0,1,0,0,0,0
14800,0,5,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0
14900,0,31,0,1,1,5,0,5,0,0,0,3,0,1,0,0,0,1
15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15100,2,106,1,0,1,12,1,10,0,0,0,0,0,11,0,0,0,0
15200,1,109,0,0,4,14,0,18,0,0,0,3,0,14,0,0,0,2
15300,1,26,0,1,0,1,0,7,0,0,0,0,0,7,0,0,0,0
15400,1,14,0,0,1,2,0,3,0,0,0,0,0,1,0,0,0,0
15500,3,48,0,0,12,7,0,6,0,0,0,2,2,5,0,0,0,0
15600,1,2,0,0,25,2,0,1,0,0,2,1,0,1,0,0,2,0
15700,11,3,0,5,27,1,0,0,0,0,1,0,1,1,0,0,1,0
15800,54,1,1,1,3,6,6,0,0,0,1,1,0,0,0,0,0,1
15900,11,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0
16000,86,5,2,0,8,3,14,1,0,0,1,0,3,0,0,0,1,0
16100,39,15,12,1,32,3,4,2,2,1,2,0,2,2,0,0,3,0
16200,0,9,1,0,26,1,0,1,0,0,4,0,0,2,0,0,5,1
16300,3,6,2,2,43,2,0,1,0,2,7,1,0,0,0,0,5,0
16400,1,42,0,1,61,6,0,3,0,0,10,1,0,3,0,0,9,0
16500,3,55,3,1,4,3,0,9,0,0,0,1,0,5,0,0,1,0
16600,1,26,0,2,0,2,0,6,0,2,0,0,0,2,0,0,0,1
16700,0,121,0,1,4,5,0,22,0,0,1,1,0,17,0,0,1,0
16800,1,59,0,0,0,3,1,12,0,0,0,0,0,6,0,0,0,0
16901,0,58,0,0,1,2,0,8,0,0,0,1,0,3,0,0,0,1
16902,1,89,0,0,5,7,0,17,0,0,0,3,0,6,0,0,1,0
17000,0,24,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1
17100,0,49,0,0,1,2,0,6,0,0,0,0,0,7,0,0,0,0
17200,1,95,3,0,2,5,0,12,0,0,0,0,0,7,0,0,0,0
17300,0,42,1,1,0,3,0,10,0,0,0,0,0,2,0,0,0,0
17400,0,35,0,0,3,2,0,3,0,0,1,0,0,4,0,0,0,0
17500,2,33,1,1,106,3,1,9,0,0,16,0,0,3,0,0,9,0
17601,3,8,1,1,103,2,0,0,0,1,5,1,0,1,0,0,11,0
17602,6,18,3,2,58,2,0,4,1,0,6,0,0,0,0,0,4,0
17700,16,45,4,0,135,6,4,7,0,0,11,1,1,4,0,0,11,0
17800,20,45,3,1,66,5,3,13,0,0,10,0,1,2,0,0,4,1
17900,44,22,0,1,49,9,6,6,0,0,4,0,2,2,0,0,5,1
18000,87,0,1,2,3,5,6,0,1,0,0,0,3,0,0,0,1,1
18100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18200,3,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0
18300,43,1,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0
18400,24,1,2,0,2,0,2,0,0,0,1,0,3,0,0,0,1,0
18500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
