"Live Birth Events by Mother's Race and Ethnicity, 2007",,,,,,,,,,,,,,,,,,
18600,57,1,0,2,1,2,4,0,0,0,0,0,3,0,0,0,0,0
18700,15,2,0,2,6,1,0,0,0,0,1,0,0,0,0,0,1,0
18800,26,49,1,0,90,7,4,11,0,0,10,2,1,5,0,0,7,1
18900,7,3,0,0,7,0,0,0,0,0,2,0,0,0,0,0,1,0
19000,14,20,3,0,82,3,0,1,1,0,9,2,1,0,0,0,8,0
19100,18,18,15,3,68,4,2,1,1,2,4,0,0,0,0,0,4,0
19200,13,48,10,1,105,10,2,7,1,0,9,1,0,4,3,0,16,2
19300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19400,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
19500,2,12,0,3,121,5,0,2,0,0,12,1,0,0,0,1,19,0
19600,1,7,0,0,30,0,0,0,0,0,6,0,0,0,0,0,3,0
19700,7,45,1,3,88,2,0,8,0,0,4,0,0,5,0,0,7,0
19800,1,44,3,1,83,1,0,5,1,0,7,1,0,5,0,0,12,1
19900,2,30,0,0,52,2,0,6,0,0,5,0,0,1,0,0,7,0
20000,1,25,2,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0
20100,2,92,0,1,5,3,0,20,0,0,0,1,0,10,0,0,0,0
20200,0,66,0,0,0,3,0,14,0,0,0,0,0,2,0,0,0,0
20300,1,33,0,2,1,2,0,6,0,2,0,1,0,1,0,0,0,0
20400,0,50,0,0,1,2,0,5,0,0,0,0,0,5,0,0,0,0
20500,1,40,0,0,1,0,0,4,0,0,1,0,0,7,0,0,0,0
20600,6,5,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
20700,47,8,3,2,5,3,3,1,0,0,1,1,0,0,0,0,0,0
20800,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20900,31,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
21000,38,1,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0
21100,24,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0
21200,16,2,2,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0
21300,27,1,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
21400,26,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
21500,23,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
21600,28,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
21700,64,5,5,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0
21800,27,1,6,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0
21900,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22000,14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22100,10,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
22200,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22300,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22700,13,3,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
22800,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23000,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23100,21,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
23200,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23300,27,12,2,0,3,0,1,2,0,0,0,0,0,1,0,0,0,0
23400,3,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23500,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23600,16,4,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
23700,16,22,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
23800,16,36,1,3,1,2,1,1,0,1,1,0,0,1,0,0,0,0
23900,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000,10,35,2,3,3,3,0,5,0,1,1,0,0,2,0,0,0,0
24100,1,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24200,5,64,0,0,3,2,0,7,0,0,0,1,0,5,0,0,0,0
24300,3,59,1,3,3,1,0,4,0,0,0,0,0,7,0,0,0,1
24400,2,49,0,1,1,4,1,9,0,0,0,0,0,4,0,0,0,0
24500,1,85,0,1,3,0,1,11,0,0,0,0,0,8,0,0,0,0
24600,2,57,0,0,1,4,0,11,0,0,0,3,0,6,0,0,0,0
24700,4,61,1,4,3,3,0,14,0,0,2,0,0,12,0,0,0,0
24800,2,26,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
24900,0,49,0,0,2,1,0,6,0,0,0,0,0,6,0,0,0,0
25000,0,17,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
25100,1,26,0,0,0,3,0,5,0,0,0,0,0,2,0,0,0,0
25200,4,106,1,0,1,4,0,16,0,0,0,0,0,7,0,0,0,1
25300,3,45,1,1,4,2,0,4,0,0,0,0,0,2,0,0,0,0
25400,7,29,0,1,2,2,0,3,0,0,1,1,0,0,0,0,0,0
25500,9,24,0,3,0,0,1,3,0,0,0,0,0,1,0,0,0,0
25600,14,8,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
25700,23,3,6,2,1,0,1,0,2,0,1,0,0,0,0,1,0,0
25800,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25900,0,49,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0
26000,0,34,1,0,1,1,0,10,0,0,0,0,0,1,0,0,0,0
26100,0,29,0,0,1,2,0,6,0,0,0,0,0,3,0,0,0,0
26200,1,39,0,3,1,1,0,7,0,0,0,0,0,4,0,0,0,0
26301,1,39,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0
26302,1,55,0,1,2,2,0,6,0,0,0,0,0,6,0,0,0,0
26400,0,56,1,0,0,0,0,10,1,0,0,0,0,3,0,0,0,0
26500,2,60,0,2,0,3,0,7,0,1,0,0,0,6,0,0,0,0
26600,2,83,0,3,2,1,1,16,0,0,0,1,0,7,0,0,0,0
26700,0,71,0,2,3,0,0,8,0,0,0,0,0,3,0,0,0,0
26800,3,59,1,0,3,1,1,7,0,0,1,0,1,2,0,0,0,0
26900,1,19,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0
27000,2,14,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
27100,1,18,5,2,2,3,0,2,1,0,0,0,0,0,0,0,0,0
27200,0,35,4,3,7,3,0,2,1,0,0,0,0,1,0,0,0,1
27300,1,52,14,10,18,3,0,12,0,0,3,0,0,2,1,0,1,0
27400,9,78,24,9,31,3,1,14,3,1,3,1,0,6,0,1,2,1
27500,5,42,6,1,7,5,1,6,1,0,1,0,0,1,0,0,0,1
27600,1,43,1,0,0,2,0,8,0,0,0,0,0,3,0,0,0,0
27700,0,57,0,0,3,1,0,11,0,0,1,0,0,5,0,0,0,0
27800,1,45,0,1,1,0,0,7,0,0,0,0,0,4,0,0,0,0
27900,0,92,0,2,3,3,0,20,0,1,0,0,0,4,0,0,0,0
28000,1,47,0,2,2,2,0,8,0,0,0,0,0,1,0,0,1,0
28100,1,48,2,0,1,5,0,4,0,0,0,1,0,2,0,0,0,0
28200,1,56,1,0,4,1,0,7,0,0,0,0,0,4,0,0,0,0
28300,4,89,4,3,9,2,0,12,0,0,2,2,0,10,0,0,0,0
28400,2,50,2,2,15,1,1,10,0,0,2,1,0,5,0,0,4,0
28500,0,15,0,1,15,0,0,1,0,0,2,0,0,0,0,0,4,0
28600,4,59,6,3,36,6,0,13,0,1,4,0,0,5,0,0,3,1
28700,1,10,0,1,37,0,0,2,0,0,4,0,0,0,0,0,1,0
28800,3,22,11,4,57,1,1,4,1,0,8,1,0,1,0,0,4,0
28900,7,51,21,9,98,2,2,9,3,2,3,0,0,1,2,0,10,0
29000,3,37,16,3,38,1,0,5,1,0,6,1,0,2,0,1,1,0
29100,3,25,21,3,20,2,0,0,2,1,1,0,0,1,0,0,0,0
29200,10,27,4,0,28,4,1,2,0,0,5,3,0,5,0,0,3,0
29300,12,30,0,1,14,4,2,1,0,0,2,2,0,4,0,0,1,0
29400,10,25,1,2,15,4,0,1,0,0,1,1,0,2,0,0,1,0
29500,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29600,9,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
29700,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
29800,25,30,3,2,19,3,4,3,0,0,2,0,2,3,0,0,1,0
29900,11,63,1,0,32,4,3,8,0,0,1,0,0,4,0,0,4,0
30000,22,100,3,5,29,9,0,13,0,0,3,0,0,14,0,0,5,0
30100,15,62,2,1,23,2,1,5,1,0,2,1,0,6,0,0,0,0
30200,19,53,2,2,36,10,3,7,0,1,5,2,2,2,0,0,3,1
30300,10,76,2,5,36,9,0,8,0,2,6,0,0,5,0,0,0,1
30400,2,4,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0
30500,31,94,7,4,38,8,3,12,0,0,4,2,1,3,0,1,4,0
30600,30,27,12,3,23,3,4,2,1,0,1,1,0,0,1,0,2,0
30700,22,13,1,2,8,1,1,3,0,0,0,0,0,0,0,0,0,0
30800,26,15,13,1,14,2,3,2,1,1,0,0,0,2,0,0,0,0
30900,11,25,12,7,17,2,1,1,1,1,2,0,0,3,0,0,0,0
31000,20,22,14,4,15,2,0,7,1,1,3,0,0,1,0,0,0,0
31100,22,62,10,6,37,7,4,11,1,0,5,0,1,5,1,0,6,1
31200,15,30,11,3,25,3,0,4,0,1,3,0,0,2,0,0,1,0
31300,20,33,17,4,26,5,3,3,4,1,3,0,1,2,0,0,1,0
31400,50,40,34,15,59,9,3,6,3,4,6,3,2,3,1,0,0,0
31500,110,4,11,2,23,4,7,0,1,0,0,0,1,1,0,0,3,0
31600,57,12,8,4,17,4,4,1,0,0,2,0,0,0,0,0,0,0
31700,36,27,8,4,21,7,3,1,0,0,1,1,0,2,0,0,2,1
31800,12,25,4,5,16,2,0,6,0,1,0,0,0,0,0,0,1,0
31900,35,10,0,2,22,5,2,0,0,0,1,0,4,0,0,0,1,0
32000,50,14,5,2,17,4,5,2,0,0,1,1,1,0,0,0,2,0
32100,35,13,1,3,18,1,3,3,0,0,4,0,1,1,0,0,4,0
32200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32300,31,22,2,0,11,3,3,1,0,0,3,0,0,0,0,0,0,0
32500,49,12,1,1,16,5,6,0,0,0,0,2,2,2,0,0,1,1
32600,62,9,3,1,17,5,6,3,0,0,5,1,1,0,0,0,1,0
32700,0,6,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
32800,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32900,26,13,2,0,9,2,2,1,0,0,0,0,1,2,0,0,0,0
33000,70,21,6,5,16,1,9,1,1,2,1,0,5,4,0,0,0,0
33100,91,10,7,3,6,5,4,2,1,0,0,1,1,0,0,0,0,0
33200,27,3,5,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0
33300,25,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
33400,29,9,10,3,13,2,3,3,1,0,0,0,0,1,0,0,0,0
33500,23,2,12,2,7,2,3,0,3,0,1,0,1,0,0,0,1,0
33600,65,10,12,6,15,2,4,2,0,2,1,0,2,0,0,0,0,0
33700,57,6,14,7,24,7,5,1,0,0,0,0,0,0,0,0,2,0
33800,44,5,4,3,9,1,3,1,0,1,1,0,0,0,0,0,1,0
33900,22,7,2,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0
34000,24,2,4,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0
34100,47,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0
34200,12,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
34300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34400,49,7,10,0,2,1,1,1,3,0,0,0,2,0,0,0,0,0
34500,43,9,18,9,9,4,3,0,0,0,0,1,0,0,0,0,0,0
34600,13,7,3,1,7,0,2,1,0,0,0,0,0,1,0,0,0,0
34701,33,6,13,3,6,5,1,1,1,0,3,1,2,0,0,0,0,0
34702,34,2,7,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
34801,33,2,2,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0
34802,34,17,1,7,3,3,1,0,1,0,0,0,0,1,0,0,0,0
34803,53,0,3,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0
34900,37,29,4,1,17,1,2,8,0,0,2,1,2,2,0,0,0,0
35100,12,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35200,30,3,2,0,3,1,3,1,0,0,0,0,0,0,0,0,1,0
35301,55,1,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0
35302,43,2,2,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0
35500,52,4,9,1,7,3,6,1,1,0,3,1,1,1,0,0,0,0
35600,49,2,14,2,8,3,4,1,2,0,3,0,2,0,0,0,0,0
35700,66,8,19,2,7,7,7,1,5,0,1,1,2,0,0,0,0,0
35800,37,5,11,5,5,2,1,2,4,1,0,0,0,0,0,0,0,0
35900,24,3,8,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
36000,12,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36100,31,13,2,0,3,2,3,2,0,0,0,0,0,1,0,0,0,0
36201,51,5,1,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0
36202,51,4,1,1,1,3,8,0,1,0,0,1,1,0,0,0,0,0
36203,58,3,2,0,9,1,1,0,0,0,0,0,2,0,0,0,1,0
36301,21,2,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
36302,29,8,4,1,4,4,2,1,0,0,0,0,0,1,0,0,0,1
36303,80,0,2,1,1,4,6,0,0,0,0,0,0,0,0,0,0,1
36400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36500,78,8,7,1,7,0,8,0,2,0,0,0,0,0,0,0,0,0
36600,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
204300,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,5771,10788,1371,547,3919,1162,430,1612,117,68,375,169,103,841,13,17,316,83
,,,,,,,,,,,,,,,,,,
