"Resident Birth by Mother's Race/Ethnicity, 2014",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,All Live Births,,,,,,"Births Weighting < 2,500 grams",,,,,,Births to Mothers < 18,,,,,
Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
100,32,22,1,4,5,0,5,1,1,2,1,0,1,0,0,0,1,0
200,31,8,0,17,0,6,2,0,0,1,0,1,0,0,0,0,0,0
300,47,28,2,6,4,7,2,0,0,0,2,0,0,0,0,0,0,0
401,24,16,1,3,2,2,4,1,0,1,0,2,0,0,0,0,0,0
402,20,12,0,7,0,1,2,0,0,2,0,0,0,0,0,0,0,0
500,14,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,15,4,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
700,27,10,1,14,2,0,2,0,0,2,0,0,0,0,0,0,0,0
801,24,17,0,7,0,0,3,2,0,1,0,0,0,0,0,0,0,0
803,21,14,0,4,1,2,2,1,0,1,0,0,0,0,0,0,0,0
804,40,21,2,9,5,3,4,1,0,1,1,1,0,0,0,0,0,0
901,12,6,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0
902,30,18,2,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0
1001,21,15,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0
1002,28,20,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1101,41,20,4,6,6,5,5,4,0,0,0,1,0,0,0,0,0,0
1102,24,19,1,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0
1201,54,40,0,7,2,5,5,4,0,0,0,1,0,0,0,0,0,0
1202,49,40,1,4,2,2,4,4,0,0,0,0,0,0,0,0,0,0
1300,110,77,10,13,8,2,7,3,1,2,0,1,0,0,0,0,0,0
1400,76,53,7,9,5,2,4,2,2,0,0,0,1,0,1,0,0,0
1500,52,31,5,5,3,8,1,0,1,0,0,0,0,0,0,0,0,0
1600,42,30,0,4,2,6,2,0,0,1,0,1,0,0,0,0,0,0
1700,56,44,0,4,3,5,2,1,0,0,0,1,0,0,0,0,0,0
1800,64,39,10,4,4,7,6,3,2,0,1,0,0,0,0,0,0,0
1900,64,41,14,2,1,6,5,2,3,0,0,0,1,0,1,0,0,0
2000,56,16,27,5,4,4,7,2,5,0,0,0,2,0,2,0,0,0
2100,29,6,18,1,2,2,2,0,2,0,0,0,1,0,1,0,0,0
2200,27,5,17,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2300,43,23,3,3,10,4,5,3,2,0,0,0,0,0,0,0,0,0
2400,74,37,6,10,16,5,5,4,0,1,0,0,0,0,0,0,0,0
2500,69,40,16,3,6,4,10,6,3,0,0,1,2,0,1,0,1,0
2701,60,16,7,11,22,4,7,0,1,0,6,0,1,0,0,1,0,0
2702,44,33,3,2,3,3,3,2,0,0,0,1,0,0,0,0,0,0
2801,79,16,3,16,39,5,4,0,0,2,2,0,3,0,0,1,2,0
2802,87,48,0,18,10,11,7,5,0,2,0,0,0,0,0,0,0,0
2900,55,40,1,4,5,5,3,2,0,0,0,1,0,0,0,0,0,0
3001,54,12,10,20,7,5,4,3,0,1,0,0,0,0,0,0,0,0
3002,45,9,21,4,6,5,4,0,1,0,1,2,1,0,1,0,0,0
3100,56,2,48,1,3,2,7,0,6,0,0,1,1,0,1,0,0,0
3200,88,8,69,0,2,9,17,0,14,0,0,3,4,0,4,0,0,0
3300,104,18,68,7,5,6,21,4,13,0,3,1,3,0,3,0,0,0
3600,109,16,64,8,9,12,12,2,7,0,0,3,7,0,5,1,1,0
3701,101,8,65,12,11,5,13,2,9,0,1,1,3,0,3,0,0,0
3702,76,7,41,13,6,9,9,0,6,2,0,1,2,0,1,1,0,0
3800,41,31,0,5,4,1,1,0,0,0,1,0,1,0,0,0,1,0
3901,83,52,9,8,6,8,3,3,0,0,0,0,1,1,0,0,0,0
3902,59,49,1,1,3,5,4,3,0,0,0,1,0,0,0,0,0,0
4001,54,34,0,8,7,5,8,4,0,1,0,3,1,0,0,0,1,0
4002,61,39,1,5,11,5,5,3,0,0,2,0,0,0,0,0,0,0
4101,151,24,19,39,48,21,15,1,5,2,5,2,3,1,0,0,2,0
4102,131,31,8,44,27,21,19,5,1,7,4,2,3,1,1,0,0,1
4201,64,45,3,6,5,5,6,5,0,0,0,1,0,0,0,0,0,0
4202,67,40,3,8,9,7,9,6,0,0,2,1,1,0,0,0,1,0
5000,4,0,0,2,1,1,2,0,0,2,0,0,0,0,0,0,0,0
5400,17,1,13,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
5500,65,3,45,6,5,6,6,0,5,1,0,0,1,0,1,0,0,0
5600,20,0,17,1,1,1,3,0,2,0,0,1,0,0,0,0,0,0
6000,109,5,66,14,4,20,10,0,9,0,0,1,2,0,1,0,1,0
6100,45,0,31,9,2,3,2,0,0,0,2,0,2,0,1,0,0,1
6200,90,5,69,6,2,8,15,1,11,0,0,3,3,0,3,0,0,0
6300,81,3,62,6,4,6,8,0,7,0,0,1,1,0,1,0,0,0
6400,93,5,75,6,2,5,7,1,5,0,0,1,2,0,2,0,0,0
6500,81,0,73,0,3,5,15,0,15,0,0,0,4,0,3,0,1,0
6600,62,1,49,6,3,3,4,0,4,0,0,0,3,0,3,0,0,0
6700,141,5,110,7,5,14,15,0,15,0,0,0,4,0,3,1,0,0
6900,52,1,45,0,3,3,8,0,7,0,0,1,1,0,1,0,0,0
7000,63,1,53,0,2,7,12,0,8,0,0,4,0,0,0,0,0,0
7101,47,6,30,1,3,7,7,3,3,0,0,1,2,0,2,0,0,0
7102,78,2,70,0,2,4,10,1,9,0,0,0,4,0,3,0,1,0
7200,85,1,78,2,2,2,11,0,11,0,0,0,3,0,3,0,0,0
7300,51,3,39,1,4,4,5,0,4,0,0,1,1,0,1,0,0,0
7400,64,1,62,0,0,1,11,0,11,0,0,0,0,0,0,0,0,0
7700,14,5,6,3,0,0,1,0,1,0,0,0,1,0,1,0,0,0
7800,41,19,11,7,2,2,3,1,1,0,1,0,0,0,0,0,0,0
7900,57,34,10,7,4,2,2,0,1,0,1,0,0,0,0,0,0,0
8000,60,11,43,1,2,3,10,1,8,1,0,0,1,0,1,0,0,0
8101,49,2,45,0,1,1,12,0,12,0,0,0,0,0,0,0,0,0
8102,80,1,70,0,3,6,15,0,12,0,1,2,0,0,0,0,0,0
8200,86,1,77,1,3,4,14,0,12,0,1,1,2,0,2,0,0,0
8301,58,1,51,0,1,5,11,0,10,0,0,1,5,0,4,0,0,1
8302,72,1,63,1,3,4,9,0,7,0,0,2,4,0,4,0,0,0
8400,63,0,57,1,0,5,6,0,4,0,0,2,2,0,2,0,0,0
8500,109,6,89,3,3,8,21,0,18,0,1,2,6,0,4,0,0,2
8601,46,19,14,6,2,5,2,1,1,0,0,0,0,0,0,0,0,0
8602,45,5,32,3,2,3,5,0,4,0,1,0,3,0,2,0,1,0
8701,54,13,7,28,4,2,2,0,0,2,0,0,0,0,0,0,0,0
8702,19,6,4,7,0,2,2,0,2,0,0,0,0,0,0,0,0,0
8802,9,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9100,32,1,20,9,0,2,3,0,2,1,0,0,2,0,2,0,0,0
9200,39,3,24,3,4,5,6,0,5,0,0,1,1,0,1,0,0,0
9300,79,1,68,1,3,6,16,0,12,0,1,3,7,0,7,0,0,0
9400,76,2,66,0,2,6,7,0,7,0,0,0,4,0,3,0,0,1
9500,47,1,38,0,3,5,6,0,6,0,0,0,0,0,0,0,0,0
9600,83,1,73,0,0,9,6,0,4,0,0,2,1,0,1,0,0,0
9801,25,3,18,0,0,4,5,0,4,0,0,1,0,0,0,0,0,0
9802,72,5,59,0,3,5,7,0,7,0,0,0,1,0,1,0,0,0
10000,52,0,47,1,1,3,5,0,5,0,0,0,2,0,2,0,0,0
10100,73,1,62,0,3,7,8,0,7,0,0,1,3,0,1,0,1,1
10200,59,0,53,1,1,4,15,0,14,0,0,1,0,0,0,0,0,0
10300,49,1,43,0,3,2,7,0,6,0,0,1,0,0,0,0,0,0
10400,57,1,49,0,3,4,5,0,4,0,0,1,4,0,3,0,0,1
10500,44,1,37,1,0,5,2,0,2,0,0,0,0,0,0,0,0,0
10600,26,3,19,2,0,2,4,0,3,0,0,1,2,0,2,0,0,0
10700,67,1,60,0,2,4,14,0,11,0,0,3,3,0,3,0,0,0
10800,68,3,54,1,5,5,11,0,9,0,0,2,2,0,1,0,0,1
10900,32,1,29,0,0,2,6,1,4,0,0,1,1,0,1,0,0,0
11000,69,3,58,1,2,5,15,1,14,0,0,0,3,0,3,0,0,0
11100,73,4,60,1,5,3,14,0,11,0,1,2,3,0,2,0,1,0
11200,84,3,74,0,6,1,10,1,8,0,1,0,1,0,1,0,0,0
11300,32,0,27,2,0,3,5,0,5,0,0,0,1,0,1,0,0,0
11400,95,3,85,1,2,4,15,0,13,0,0,2,0,0,0,0,0,0
11500,52,2,47,0,2,1,6,0,6,0,0,0,4,0,3,0,0,1
11700,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11800,52,1,46,0,3,2,8,1,7,0,0,0,2,0,1,0,1,0
11900,64,2,57,0,0,5,5,0,4,0,0,1,2,0,2,0,0,0
12000,9,1,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
12100,32,3,18,5,0,6,5,0,3,0,0,2,0,0,0,0,0,0
12201,24,2,8,6,0,8,4,0,1,2,0,1,0,0,0,0,0,0
12203,33,5,2,7,2,17,0,0,0,0,0,0,0,0,0,0,0,0
12204,25,2,18,0,4,1,2,0,1,0,1,0,0,0,0,0,0,0
12500,72,32,0,28,3,9,6,6,0,0,0,0,0,0,0,0,0,0
13100,29,8,19,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0
13200,36,3,23,1,8,1,4,0,3,0,1,0,1,0,0,0,1,0
13300,30,10,13,2,4,1,1,0,1,0,0,0,1,0,1,0,0,0
13401,24,17,0,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0
13402,38,29,3,1,4,1,4,3,1,0,0,0,1,0,0,0,1,0
13500,55,28,16,4,3,4,7,3,3,1,0,0,1,0,1,0,0,0
13601,52,36,1,6,0,9,4,2,0,1,0,1,0,0,0,0,0,0
13602,59,43,4,4,2,6,4,3,0,0,1,0,0,0,0,0,0,0
13700,91,22,57,3,1,8,6,1,3,0,1,1,4,0,4,0,0,0
13800,24,1,19,1,2,1,1,0,1,0,0,0,1,0,1,0,0,0
13900,56,3,51,1,1,0,12,0,12,0,0,0,1,0,1,0,0,0
14000,38,6,24,2,4,2,7,0,7,0,0,0,3,0,2,0,1,0
14100,42,6,24,1,6,5,4,0,3,0,1,0,3,0,2,0,0,1
14200,51,29,4,4,6,8,2,1,0,0,1,0,0,0,0,0,0,0
14300,20,12,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
14400,50,16,11,1,20,2,5,1,2,0,1,1,1,0,0,0,1,0
14500,38,0,27,1,7,3,2,0,2,0,0,0,3,0,3,0,0,0
14600,18,0,15,0,1,2,4,0,2,0,1,1,0,0,0,0,0,0
14700,29,0,23,0,3,3,3,0,2,0,0,1,1,0,1,0,0,0
14800,14,0,11,0,2,1,4,0,4,0,0,0,0,0,0,0,0,0
14900,72,1,63,1,3,4,13,1,11,0,0,1,3,0,3,0,0,0
15101,43,3,36,1,0,3,10,2,8,0,0,0,1,0,1,0,0,0
15102,102,0,94,0,5,3,13,0,13,0,0,0,2,0,2,0,0,0
15200,136,1,123,1,5,6,19,0,18,0,0,1,6,0,6,0,0,0
15300,26,1,21,1,1,2,4,0,2,0,1,1,0,0,0,0,0,0
15600,26,5,4,0,17,0,3,0,1,0,2,0,0,0,0,0,0,0
15700,38,8,2,4,18,6,7,1,0,1,5,0,0,0,0,0,0,0
15800,84,67,1,4,3,9,7,7,0,0,0,0,0,0,0,0,0,0
16000,127,100,8,3,10,6,11,9,1,0,0,1,1,0,0,0,1,0
16100,110,50,14,10,27,9,8,3,1,0,3,1,4,0,2,1,1,0
16200,30,1,7,0,22,0,5,0,2,0,3,0,2,0,1,0,1,0
16300,78,4,6,2,60,6,8,1,0,0,6,1,2,0,0,0,2,0
16400,75,2,32,1,38,2,14,0,5,0,9,0,2,0,1,0,1,0
16500,58,0,53,0,5,0,12,0,10,0,2,0,2,0,2,0,0,0
16600,13,0,10,0,2,1,2,0,2,0,0,0,2,0,2,0,0,0
16701,70,1,62,0,6,1,8,0,7,0,1,0,3,0,3,0,0,0
16702,54,2,45,2,2,3,11,1,10,0,0,0,4,0,4,0,0,0
16800,63,0,59,0,0,4,12,0,12,0,0,0,1,0,1,0,0,0
16901,71,1,62,0,3,5,11,0,10,0,0,1,4,0,2,0,1,1
16902,107,1,96,1,5,4,14,0,13,0,0,1,5,0,5,0,0,0
17000,50,5,39,2,4,0,4,0,4,0,0,0,2,0,2,0,0,0
17100,68,3,60,1,3,1,3,0,3,0,0,0,3,0,3,0,0,0
17201,67,2,57,0,4,4,5,0,4,0,0,1,1,0,1,0,0,0
17202,68,0,59,2,5,2,10,0,8,0,1,1,1,0,1,0,0,0
17300,48,0,41,0,4,3,5,0,5,0,0,0,3,0,3,0,0,0
17400,49,2,41,1,5,0,9,0,8,0,1,0,0,0,0,0,0,0
17500,134,2,37,0,92,3,17,2,6,0,7,2,9,0,0,0,9,0
17601,124,3,10,0,109,2,13,0,1,0,11,1,6,0,0,0,6,0
17602,77,2,8,0,66,1,6,0,0,0,6,0,4,0,0,0,3,1
17701,88,7,25,2,53,1,14,2,7,0,5,0,7,0,3,0,4,0
17702,112,10,20,1,77,4,14,2,2,0,10,0,7,0,1,0,6,0
17800,160,30,43,2,83,2,16,2,8,0,5,1,7,0,3,0,4,0
17900,117,31,34,0,48,4,14,4,3,0,6,1,3,0,0,0,3,0
18001,52,37,1,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0
18002,80,61,0,2,2,15,3,1,0,0,0,2,0,0,0,0,0,0
18300,45,38,2,0,1,4,4,4,0,0,0,0,1,1,0,0,0,0
18400,37,33,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0
18800,140,26,47,3,61,3,19,8,3,0,8,0,6,1,0,0,5,0
19000,139,10,25,5,90,9,9,0,0,0,8,1,3,1,2,0,0,0
19100,133,11,17,14,86,5,12,1,1,2,8,0,2,0,0,0,2,0
19200,199,13,45,4,132,5,23,0,3,0,17,3,9,0,1,0,8,0
19501,110,6,17,0,84,3,9,0,2,0,6,1,10,0,1,0,9,0
19502,68,6,6,0,56,0,10,0,2,0,8,0,4,1,0,0,3,0
19700,133,4,39,3,83,4,3,0,0,0,3,0,6,0,2,0,4,0
