"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2019-2020","Alternative","Opportunity","Middle-High","3820","Camelot Academy East",,,"58","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3840","Philadelphia OIC Workforce Academy",,,"118","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3850","Northeast High School EOP",,,"144","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","3880","South Philadelphia HS - EOP","2498","Y","97","0","0",,,"0.00%"
"2019-2020","District","Network 13","High","4020","Overbrook High School","2446","N","473","3555","376","0.13","10.58%","79.49%"
"2019-2020","District","Network 1","Middle-High","4030","Engineering & Science High","948","N","907","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","4060","Dobbins, Murrell High School","1200","N","797","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","4140","Strawberry Mansion High School","1762","N","166","1758","114","0.09","6.48%","68.67%"
"2019-2020","District","Network 11","Elementary-Middle","4220","Blaine, James G. School","775","Y","407","526","284","0.77","53.99%","69.78%"
"2019-2020","District","Network 2","Elementary-Middle","4240","Cassidy, Lewis C Academics Plus","656","N","415","1047","286","0.40","27.32%","68.92%"
"2019-2020","District","Network 11","Elementary-Middle","4270","Dick, William School","596","N","465","831","364","0.56","43.80%","78.28%"
"2019-2020","District","Network 2","Elementary-Middle","4280","Gompers, Samuel School","537","N","289","323","136","0.89","42.11%","47.06%"
"2019-2020","District","Acceleration","Elementary-Middle","4300","Heston, Edward School","636","Y","433","1018","282","0.43","27.70%","65.13%"
"2019-2020","District","Network 2","Elementary-Middle","4320","Lamberton, Robert E Elementary","1323","N","416","664","249","0.63","37.50%","59.86%"
"2019-2020","District","Acceleration","Elementary-Middle","4350","Rhodes Elementary School","1386","N","479","999","354","0.48","35.44%","73.90%"
"2019-2020","District","Network 11","Elementary-Middle","4360","Kenderton Elementary","795","N","473","563","261","0.84","46.36%","55.18%"
"2019-2020","District","Network 2","Elementary-Middle","4370","Overbrook Elementary School","437","N","229","446","183","0.51","41.03%","79.91%"
"2019-2020","District","Network 11","Elementary","4380","Peirce, Thomas M. School","656","N","351","687","281","0.51","40.90%","80.06%"
"2019-2020","District","Acceleration","Elementary-Middle","4440","Allen, Dr. Ethel School","676","Y","467","759","362","0.62","47.69%","77.52%"
"2019-2020","District","Network 5","Elementary-Middle","4460","Duckrey, Tanner School","676","N","567","960","406","0.59","42.29%","71.60%"
"2019-2020","District","Network 5","Elementary","4470","Wright, Richard R. School","636","Y","351","489","265","0.72","54.19%","75.50%"
"2019-2020","District","Network 2","Elementary-Middle","4480","Overbrook Educational Center","306","N","285","0","0",,,"0.00%"
"2019-2020","District","Network 11","Elementary-Middle","4530","Gideon, Edward School","596","N","224","284","138","0.79","48.59%","61.61%"
"2019-2020","District","Network 11","Elementary-Middle","4560","Kelley, William D. School","676","Y","297","415","202","0.72","48.67%","68.01%"
"2019-2020","District","Network 3","Elementary-Middle","4570","Meade, Gen. George G. School","894","Y","344","531","219","0.65","41.24%","63.66%"
"2019-2020","District","Network 13","High","5020","Edison, Thomas A. High School","2218","Y","1077","2972","596","0.36","20.05%","55.34%"
"2019-2020","District","Innovation","High","5050","Philadelphia Military Academy","600","N","315","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","5060","Mastbaum, Jules E. High School","1100","N","631","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","5070","Parkway-Northwest High School","300","N","277","0","0",,,"0.00%"
"2019-2020","District","Network 1","High","5080","Parkway Center City Middle College High School","580","N","487","0","0",,,"0.00%"
"2019-2020","District","Network 13","High","5090","Parkway West High School","1000","Y","321","0","0",,,"0.00%"
"2019-2020","District","Network 1","High","5150","Bodine, William W. High School","639","N","601","0","0",,,"0.00%"
"2019-2020","District","Innovation","Middle-High","5160","Penn Treaty High School","1113","N","509","865","173","0.59","20.00%","33.99%"
"2019-2020","District","Network 3","Elementary-Middle","5170","De Burgos, J. Elementary","1093","N","830","647","440","1.28","68.01%","53.01%"
"2019-2020","District","Innovation","High","5180","Vaux High School","500","N","309","341","48","0.91","14.08%","15.53%"
"2019-2020","District","Network 3","Elementary-Middle","5200","Adaire, Alexander School","437","N","447","348","284","1.28","81.61%","63.53%"
"2019-2020","District","Network 5","Elementary-Middle","5210","Brown, Henry A. School","775","N","397","414","285","0.96","68.84%","71.79%"
"2019-2020","District","Network 5","Middle","5230","Conwell, Russell Middle School","483","N","328","0","0",,,"0.00%"
"2019-2020","District","Acceleration","Elementary-Middle","5250","Dunbar, Paul L. School","477","N","259","312","163","0.83","52.24%","62.93%"
"2019-2020","District","Network 11","Elementary","5260","Elkin, Lewis School","1014","N","677","951","624","0.71","65.62%","92.17%"
"2019-2020","District","Network 5","Elementary","5300","Hackett, Horatio B. School","596","N","356","303","197","1.17","65.02%","55.34%"
"2019-2020","District","Network 5","Elementary-Middle","5320","Hartranft, John F. School","676","N","470","701","390","0.67","55.63%","82.98%"
"2019-2020","District","Network 5","Elementary-Middle","5330","Hunter, William H. School","696","Y","571","504","374","1.13","74.21%","65.50%"
"2019-2020","District","Network 3","Elementary-Middle","5340","Ludlow, James R. School","596","N","270","366","170","0.74","46.45%","62.96%"
"2019-2020","District","Network 12","Elementary-Middle","5350","McKinley, William School","596","Y","413","519","314","0.80","60.50%","76.03%"
"2019-2020","District","Network 3","Elementary","5370","Moffet, John School","417","N","290","289","218","1.00","75.43%","75.17%"
"2019-2020","District","Acceleration","Elementary-Middle","5390","Potter-Thomas School","616","N","490","736","414","0.67","56.25%","84.49%"
"2019-2020","District","Network 5","Elementary","5400","Richmond School","556","N","510","860","479","0.59","55.70%","93.92%"
"2019-2020","District","Network 3","Elementary","5410","Sheppard, Isaac A. School","378","N","163","191","103","0.85","53.93%","63.19%"
"2019-2020","District","Network 5","Elementary-Middle","5420","Welsh, John School","755","N","333","402","232","0.83","57.71%","69.67%"
"2019-2020","District","Network 12","Middle","5430","AMY 5 at James Martin","504","N","425","0","0",,,"0.00%"
"2019-2020","District","Network 5","Elementary","5440","Willard, Frances E. School","775","N","673","753","531","0.89","70.52%","78.90%"
"2019-2020","District","Network 11","Elementary","5470","Cramp, William School","755","Y","479","613","432","0.78","70.47%","90.19%"
"2019-2020","District","Network 3","Elementary-Middle","5480","Kearny, Gen. Philip School","417","N","290","375","205","0.77","54.67%","70.69%"
"2019-2020","District","Network 11","Elementary","5490","Cayuga School","517","N","428","541","346","0.79","63.96%","80.84%"
"2019-2020","District","Network 7","Elementary-Middle","5500","Marshall, Thurgood School","835","Y","692","637","405","1.09","63.58%","58.53%"
"2019-2020","District","Network 4","High","5520","Kensington CAPA","542","N","522","0","0",,,"0.00%"
"2019-2020","District","Network 5","Elementary","5530","Sheridan, Philip H. School","936","N","550","799","498","0.69","62.33%","90.55%"
"2019-2020","District","Network 4","High","5550","Kensington Health Sciences","337","N","458","0","0",,,"0.00%"
"2019-2020","District","Network 3","Elementary-Middle","5560","Spring Garden School","258","N","292","419","211","0.70","50.36%","72.26%"
"2019-2020","District","Network 5","Elementary","5590","Webster, John H. School","935","Y","635","1013","572","0.63","56.47%","90.08%"
"2019-2020","District","Innovation","High","5610","Building 21","600","N","349","0","0",,,"0.00%"
"2019-2020","District","Innovation","High","5620","The U School","500","N","238","0","0",,,"0.00%"
"2019-2020","District","Innovation","High","5660","The LINC","1500","Y","216","0","0",,,"0.00%"
"2019-2020","District","Acceleration","Elementary-Middle","5680","Munoz-Marin, Hon Luis School","934","Y","618","622","467","0.99","75.08%","75.57%"
"2019-2020","District","Network 4","High","5700","Kensington High School","929","N","483","3213","362","0.15","11.27%","74.95%"
"2019-2020","District","Network 1","High","6010","Central High School","2350","N","2411","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","6030","Roxborough High School","1603","N","779","1845","283","0.42","15.34%","36.33%"
"2019-2020","District","Network 1","High","6040","Saul, Walter B. High School","740","N","513","0","0",,,"0.00%"
"2019-2020","District","Network 1","High","6050","Girls, Phila High School for","1500","N","766","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","6060","King, Martin Luther High Sch.","2543","N","519","5502","436","0.09","7.92%","84.01%"
"2019-2020","District","Network 4","High","6090","Randolph Technical High School","580","N","370","0","0",,,"0.00%"
"2019-2020","District","Network 12","Elementary-Middle","6200","Day, Anna B. School","597","Y","433","564","242","0.77","42.91%","55.89%"
"2019-2020","District","Network 6","Elementary-Middle","6210","Edmonds, Franklin S. School","755","Y","535","822","429","0.65","52.19%","80.19%"
"2019-2020","District","Network 6","Elementary","6220","Emlen, Eleanor C. School","735","Y","328","594","280","0.55","47.14%","85.37%"
"2019-2020","District","Network 6","Elementary-Middle","6230","Fitler Academics Plus","378","N","271","0","0",,,"0.00%"
"2019-2020","District","Network 6","Elementary-Middle","6250","Henry, Charles W. School","596","N","519","399","287","1.30","71.93%","55.30%"
"2019-2020","District","Network 6","Elementary-Middle","6260","Houston, Henry H. School","656","N","366","440","191","0.83","43.41%","52.19%"
"2019-2020","District","Network 6","Elementary-Middle","6270","Jenks Academy Arts & Sciences","477","N","513","236","169","2.17","71.61%","32.94%"
"2019-2020","District","Network 6","Elementary","6300","Logan, James School","556","Y","324","429","238","0.76","55.48%","73.46%"
"2019-2020","District","Network 6","Elementary-Middle","6310","McCloskey, John F. School","497","N","344","408","226","0.84","55.39%","65.70%"
"2019-2020","District","Network 6","Elementary-Middle","6320","Mifflin, Thomas School","742","Y","332","357","168","0.93","47.06%","50.60%"
"2019-2020","District","Network 7","Elementary","6340","Pennell, Joseph Elementary","517","Y","380","562","283","0.68","50.36%","74.47%"
"2019-2020","District","Network 6","Elementary-Middle","6350","Pennypacker, Samuel School","636","Y","357","848","260","0.42","30.66%","72.83%"
"2019-2020","District","Acceleration","Elementary-Middle","6360","Roosevelt Elementary School","1050","N","459","2062","375","0.22","18.19%","81.70%"
"2019-2020","District","Network 6","Elementary-Middle","6380","Shawmont School","656","Y","480","827","414","0.58","50.06%","86.25%"
"2019-2020","District","Acceleration","Elementary-Middle","6390","Steel, Edward School","676","Y","429","830","337","0.52","40.60%","78.55%"
"2019-2020","District","Network 1","Elementary-Middle-High","6400","Widener Memorial School","488","N","142","0","0",,,"0.00%"
"2019-2020","District","Network 6","Elementary-Middle","6410","Cook-Wissahickon School","537","N","462","476","276","0.97","57.98%","59.74%"
"2019-2020","District","Network 6","Elementary-Middle","6440","Lingelbach, Anna L. School","398","N","392","398","199","0.98","50.00%","50.77%"
"2019-2020","District","Network 6","Elementary-Middle","6450","Dobson, James School","417","N","249","296","169","0.84","57.09%","67.87%"
"2019-2020","District","Network 1","Middle-High","6460","Hill-Freedman World Academy","1000","N","691","0","0",,,"0.00%"
"2019-2020","District","Network 6","Elementary","6470","Kelly, John B. School","795","N","505","956","404","0.53","42.26%","80.00%"
"2019-2020","District","Network 9","Middle","6480","AMY Northwest","576","N","319","0","0",,,"0.00%"
"2019-2020","District","Network 1","High","6540","Lankenau High School","347","N","349","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","7010","Frankford High School","1679","N","902","4739","542","0.19","11.44%","60.09%"
"2019-2020","District","Acceleration","Elementary-Middle","7100","Cooke, Jay Elementary School","974","N","427","566","286","0.75","50.53%","66.98%"
"2019-2020","District","Network 8","Middle","7110","Harding, Warren G. Middle Sch","1197","N","767","2103","611","0.36","29.05%","79.66%"
"2019-2020","District","Network 13","High","7120","Fels, Samuel High School","1418","N","951","3496","575","0.27","16.45%","60.46%"
"2019-2020","District","Network 12","Middle","7130","Wagner, Gen. Louis Middle Sch.","1008","N","481","1371","376","0.35","27.43%","78.17%"
"2019-2020","District","Network 5","Elementary-Middle","7150","Juniata Park Academy","874","N","1090","1487","1041","0.73","70.01%","95.50%"
"2019-2020","District","Network 7","Elementary","7200","Barton School","755","N","640","807","588","0.79","72.86%","91.88%"
"2019-2020","District","Network 7","Elementary","7220","Carnell, Laura H. School","1113","N","847","1550","710","0.55","45.81%","83.83%"
"2019-2020","District","Network 7","Elementary","7260","Ellwood School","358","Y","301","459","246","0.66","53.59%","81.73%"
"2019-2020","District","Network 7","Elementary-Middle","7270","Finletter, Thomas K. School","915","N","750","974","591","0.77","60.68%","78.80%"
"2019-2020","District","Network 7","Elementary-Middle","7280","Franklin, Benjamin School","696","N","795","1266","645","0.63","50.95%","81.13%"
"2019-2020","District","Network 9","Elementary-Middle","7290","Stearne, Allen M. School","537","N","514","827","366","0.62","44.26%","71.21%"
"2019-2020","District","Network 5","Elementary-Middle","7300","Hopkinson, Francis School","775","N","850","1029","623","0.83","60.54%","73.29%"
"2019-2020","District","Network 7","Elementary","7310","Feltonville Intermediate","696","N","638","810","563","0.79","69.51%","88.24%"
"2019-2020","District","Network 7","Elementary","7320","Howe, Julia Ward School","437","N","253","428","212","0.59","49.53%","83.79%"
"2019-2020","District","Network 9","Elementary","7330","Lawton, Henry W. School","855","Y","665","900","524","0.74","58.22%","78.80%"
"2019-2020","District","Network 7","Elementary","7350","Lowell, James R. School","1053","Y","686","960","629","0.71","65.52%","91.69%"
"2019-2020","District","Acceleration","Elementary","7360","Marshall, John School","417","N","369","500","241","0.74","48.20%","65.31%"
"2019-2020","District","Network 12","Middle","7370","Washington, Grover Jr. Middle","1197","N","579","831","430","0.70","51.74%","74.27%"
"2019-2020","District","Network 11","Elementary","7380","McClure, Alexander K. School","576","N","621","768","508","0.81","66.15%","81.80%"
"2019-2020","District","Network 7","Elementary-Middle","7390","Morrison, Andrew J. School","775","N","686","880","511","0.78","58.07%","74.49%"
"2019-2020","District","Network 7","Elementary-Middle","7400","Olney Elementary School","887","N","867","1029","701","0.84","68.12%","80.85%"
"2019-2020","District","Network 9","Elementary","7430","Sullivan, James J. School","636","N","608","858","387","0.71","45.10%","63.65%"
"2019-2020","District","Network 11","Elementary","7440","Taylor, Bayard School","795","N","501","588","404","0.85","68.71%","80.64%"
"2019-2020","District","Network 9","Elementary-Middle","7460","Ziegler, William H. School","556","N","547","520","353","1.05","67.88%","64.53%"
"2019-2020","District","Network 9","Elementary-Middle","7470","Bridesburg School","518","N","789","1179","755","0.67","64.04%","95.69%"
"2019-2020","District","Network 7","Elementary","7490","Prince Hall School","636","Y","538","652","380","0.83","58.28%","70.63%"
"2019-2020","District","Network 7","Middle","7500","Feltonville Arts & Sciences","924","N","673","922","584","0.73","63.34%","86.78%"
"2019-2020","District","Network 11","Elementary-Middle","7510","Bethune, Mary McLeod School","855","Y","570","744","400","0.77","53.76%","70.18%"
"2019-2020","District","Network 7","Elementary","7530","Rowen, William School","517","N","411","625","334","0.66","53.44%","81.27%"
"2019-2020","District","Acceleration","Middle","7730","Clemente, Roberto Middle Schl","1500","Y","386","923","263","0.42","28.49%","68.13%"
"2019-2020","District","Network 4","High","8010","Lincoln, Abraham High School","1586","Y","1963","5051","1371","0.39","27.14%","69.84%"
"2019-2020","District","Network 1","High","8020","Northeast High School","2167","N","3467","4526","2225","0.77","49.16%","64.18%"
"2019-2020","District","Network 4","High","8030","Washington, George High School","2765","N","1396","3792","933","0.37","24.60%","66.83%"
"2019-2020","District","Network 1","High","8040","Arts Academy at Benjamin Rush","730","N","647","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","8070","OIC CADI",,,"121","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","8080","Excel Academy North","504","N","143","0","0",,,"0.00%"
"2019-2020","District","Network 4","High","8090","Swenson Arts/Tech High School","725","N","626","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","8100","Gateway To College Community College Of Phil",,,"76","0","0",,,"0.00%"
"2019-2020","District","Network 8","Middle","8120","Wilson, Woodrow Middle School","1239","N","1421","2032","1307","0.70","64.32%","91.98%"
"2019-2020","District","Network 12","Middle","8140","Meehan, Austin Middle School","1533","N","662","1234","599","0.54","48.54%","90.48%"
"2019-2020","District","Network 8","Middle","8160","Baldi Middle School","1302","N","1501","1779","1387","0.84","77.97%","92.41%"
"2019-2020","Alternative","Opportunity","High","8190","One Bright Ray - Fairhill",,,"285","0","0",,,"0.00%"
"2019-2020","District","Network 9","Elementary-Middle","8200","Allen, Ethan School","656","N","982","1579","873","0.62","55.29%","88.90%"
"2019-2020","District","Network 9","Elementary","8210","Brown, Joseph H. School","517","N","597","912","538","0.65","58.99%","90.12%"
"2019-2020","District","Network 8","Elementary","8230","Crossan, Kennedy C. School","278","N","328","476","315","0.69","66.18%","96.04%"
"2019-2020","District","Network 9","Elementary-Middle","8240","Disston, Hamilton School","636","N","834","1526","740","0.55","48.49%","88.73%"
"2019-2020","District","Network 12","Elementary","8250","Forrest, Edwin School","974","Y","1162","1815","1038","0.64","57.19%","89.33%"
"2019-2020","District","Network 8","Elementary","8260","Fox Chase School","556","N","528","593","450","0.89","75.89%","85.23%"
"2019-2020","District","Network 9","Elementary","8270","Holme, Thomas School","795","Y","611","943","565","0.65","59.92%","92.47%"
"2019-2020","District","Network 9","Elementary-Middle","8300","Mayfair School","955","N","2208","2674","2166","0.83","81.00%","98.10%"
"2019-2020","District","Network 8","Elementary","8310","Moore, J. Hampton School","994","N","1157","1449","1049","0.80","72.39%","90.67%"
"2019-2020","District","Network 8","Elementary","8340","Solis-Cohen, Solomon School","1232","N","1245","1291","1108","0.96","85.82%","89.00%"
"2019-2020","District","Network 9","Elementary-Middle","8350","Spruance, Gilbert School","1074","Y","1370","1744","1205","0.79","69.09%","87.96%"
"2019-2020","District","Network 8","Elementary","8360","Rhawnhurst School","417","Y","626","886","613","0.71","69.19%","97.92%"
"2019-2020","District","Network 8","Elementary","8370","Comly, Watson School","457","N","511","700","486","0.73","69.43%","95.11%"
"2019-2020","District","Network 8","Elementary-Middle","8380","Farrell, Louis H. School","755","N","1184","1359","1098","0.87","80.79%","92.74%"
"2019-2020","District","Network 8","Elementary-Middle","8390","Fitzpatrick, A. L. School","815","Y","817","1276","751","0.64","58.86%","91.92%"
"2019-2020","District","Network 8","Elementary","8400","Frank, Anne School","915","N","1359","1675","1330","0.81","79.40%","97.87%"
"2019-2020","District","Network 9","Elementary","8410","Pollock, Robert B. School","696","N","613","886","546","0.69","61.63%","89.07%"
"2019-2020","District","Network 8","Elementary-Middle","8420","Decatur, Stephen School","954","N","979","1290","904","0.76","70.08%","92.34%"
"2019-2020","District","Network 8","Elementary-Middle","8430","Greenberg, Joseph School","755","N","829","788","648","1.05","82.23%","78.17%"
"2019-2020","District","Network 8","Elementary","8440","Loesche, William H. School","934","Y","881","938","814","0.94","86.78%","92.40%"
"2019-2020","Alternative","Opportunity","High","8450","YES Philly",,,"104","0","0",,,"0.00%"
"2019-2020","Alternative","Innovation","High","8460","Phila Learning Academy South","355","N","86","0","0",,,"0.00%"
"2019-2020","Alternative","Innovation","High","8470","Phila Learning Academy North","446","Y","39","0","0",,,"0.00%"
"2019-2020","Alternative","Innovation","High","8540","Pennypack House School",,,"36","0","0",,,"0.00%"
"2019-2020","District","Innovation","High","8560","The Workshop School","256","N","227","0","0",,,"0.00%"
"2019-2020","Alternative","Innovation","Middle-High","8690","Crossroads Accelerated Academy","894","Y","105","0","0",,,"0.00%"
"2019-2020","District","Network 8","Elementary-Middle","8770","Hancock Demonstration School","957","N","778","824","622","0.94","75.49%","79.95%"
"2019-2020","District","Innovation","Middle-High","8780","Philadelphia Virtual Academy",,,"507","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","8860","One Bright Ray Mansion",,,"183","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","8870","One Bright Ray Mansion Evening",,,"21","0","0",,,"0.00%"
"2019-2020","Alternative","Opportunity","High","8890","One Bright Ray - Simpson",,,"274","0","0",,,"0.00%"
"2019-2020","Non Public Special Education","Data is Private","Data is Private","Non Public Special Education","Non Public Special Education","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private"
